"","state_name","state_postal","KWH","DOLLAREL","HDD65","CDD65","UATYP10","TYPEHUQ","MONEYPY","ENERGYASST20","BA_climate","DIVISION","YEARMADERANGE","KOWNRENT","COOLCNTL","HEATCNTL","LGTINLED","SMARTMETER","TYPETHERM","ATHOME"
"180","Alaska","AK",16966.85,3626.97,10753,1,"U",3,14,-2,"Very-Cold","Pacific",5,1,-2,2,1,-4,1,5
"181","Washington","WA",9756.65,1047.65,4929,53,"C",2,14,-2,"Marine","Pacific",6,2,-2,1,1,0,1,2
"182","Louisiana","LA",19197.83,1717.09,1137,2933,"U",2,15,-2,"Hot-Humid","West South Central",7,1,2,2,3,-4,3,5
"183","District of Columbia","DC",5114.12,662.25,3343,1709,"U",3,15,-2,"Mixed-Humid","South Atlantic",1,2,1,1,2,-4,1,5
"184","Massachusetts","MA",5378.36,1075.66,7353,284,"R",2,15,-2,"Cold","New England",6,1,-2,1,4,0,1,5
"185","Illinois","IL",19299.44,2725.89,6128,936,"U",2,15,-2,"Cold","East North Central",5,1,1,1,4,0,2,5
"186","Indiana","IN",15055.94,2132.67,4925,1092,"U",2,15,-2,"Cold","East North Central",1,1,1,1,2,-4,1,5
"187","Tennessee","TN",7266.5,795.7,2843,2013,"U",2,13,-2,"Mixed-Humid","East South Central",1,2,1,2,3,1,0,5
"188","New York","NY",11181.42,1515.39,6203,872,"U",2,14,-2,"Cold","Middle Atlantic",4,1,2,2,1,0,1,4
"189","Idaho","ID",10568.63,1056.49,5065,1060,"U",2,7,-2,"Cold","Mountain North",4,1,1,1,3,0,2,5
"190","North Dakota","ND",2545.36,241.42,8172,495,"R",4,6,-2,"Very-Cold","West North Central",5,2,4,1,0,-4,2,2
"191","Ohio","OH",41070.18,3912.24,5753,944,"C",2,7,-2,"Cold","East North Central",1,1,1,1,2,0,1,5
"192","New Jersey","NJ",6226.62,804.26,4502,1274,"U",5,11,-2,"Cold","Middle Atlantic",5,2,2,2,4,0,2,5
"193","South Carolina","SC",19551.49,2220.79,1285,2997,"R",1,3,-2,"Hot-Humid","South Atlantic",4,1,1,1,0,1,2,5
"194","Kentucky","KY",2262.97,461.19,4559,1062,"R",4,2,1,"Mixed-Humid","East South Central",4,2,1,1,1,-4,1,5
"195","North Dakota","ND",6220.65,746.47,7996,631,"U",2,14,-2,"Cold","West North Central",3,1,3,3,1,1,2,5
"196","District of Columbia","DC",5302.86,668.05,3368,1696,"U",5,13,-2,"Mixed-Humid","South Atlantic",3,2,4,4,2,0,0,5
"197","Hawaii","HI",3750.6,1116.56,0,4904,"U",5,10,-2,"Hot-Humid","Pacific",4,1,2,-2,0,0,0,5
